Gene Accession Number,1,2,3,4,5,6,7,8,9,10,11,12,13,…
L19527_at,15020,17275,15112,16768,17138,10903,12484,16858,16403,12314,16361,18167,17561,…
L19593_at,44,29,5,66,46,21,-57,-13,3,31,47,31,55,…
L19605_at,1790,3155,2567,1154,1114,1795,15688,1146,3583,1838,1442,912,1810,…
L19686_rna1_at,785,7260,6254,623,6139,3583,-398,-865,9695,6816,5763,4378,3068,…
L19711_at,-76,-55,-25,73,99,-19,134,455,-30,12,68,47,17,…
L19778_at,4,-2,-17,33,64,-21,73,61,-4,31,-13,-8,62,…
L19779_at,4660,4644,2488,3153,3185,1198,4528,1454,1798,5702,1248,11149,4229,…
L19783_at,19,184,29,108,187,-12,-35,2,103,43,77,30,112,…
L19871_at,3,886,74,160,190,154,161,254,190,1683,668,369,178,…
L19872_at,-43,526,-96,36,166,3,53,-4,-36,-26,19,44,115,…
L20010_at,1616,1417,1378,815,1185,1337,1517,773,2842,1154,2010,366,2142,…
L20298_at,1290,1752,2509,1793,2431,994,1710,778,2928,1620,1216,500,2597,…
L20316_at,1465,1221,2330,879,1218,1445,1895,1707,1737,1434,1088,1106,1303,…
L20320_at,104,71,69,188,242,10,174,22,49,77,260,58,65,…
L20321_at,42,37,29,70,157,-67,57,17,3,59,3,33,59,…
L20348_at,52,35,75,22,19,-90,70,-14,28,123,-3,33,21,…
L20591_at,31,0,42,-39,-12,62,-13,77,45,6,21,-4,-23,…
L20773_at,1911,1212,1546,926,849,718,853,970,1495,1030,1250,959,690,…
L20814_at,12,43,-5,12,81,35,-38,-2,24,82,64,48,74,…
L20815_at,442,611,647,532,340,437,969,802,695,483,257,267,288,…
L20826_at,177,100,334,58,48,110,188,242,189,134,217,110,23,…
L20852_at,-5,43,58,56,8,-1,55,73,26,15,48,24,48,…
L20859_at,-49,187,-118,-47,65,67,-119,-29,-104,19,33,74,127,…
L20861_at,142,65,90,212,70,128,151,397,134,137,145,67,116,…
L20941_at,2654,6765,3387,1646,2189,2951,1885,2193,5145,2334,3947,4207,3709,…
L20971_at,311,344,82,-33,218,49,18,1385,86,65,26,1108,3274,…
L21715_at,-225,-160,-293,-185,-134,-188,-273,-56,-160,-117,-145,-163,-100,…
L21893_at,397,230,870,610,397,526,544,1024,519,234,202,100,450,…
L21934_at,22,44,50,30,34,21,43,7,15,37,5,20,46,…
L21936_at,552,206,473,636,751,362,315,590,653,321,482,159,720,…
L21954_at,1173,1948,1048,763,2197,179,1829,253,246,414,233,411,717,…
L21993_at,-160,-614,-575,-274,-641,-288,-641,-166,-882,-35,-54,-79,-209,…
L22005_at,-450,-3,-379,-799,132,-389,-845,-122,-570,-500,-228,-517,-276,…
L22009_at,3401,2996,4007,2949,4156,3871,3495,4965,3349,1960,5389,2693,2079,…
L22075_at,132,153,206,53,297,124,-99,152,185,84,284,171,67,…
L22206_at,-563,-896,-896,-696,-447,-53,-204,50,-720,-329,-358,-80,-282,…
L22214_at,391,410,432,387,198,307,468,616,192,350,168,260,142,…
L22342_at,1334,1330,1188,1027,773,937,1184,1064,1353,781,556,395,826,…
L22343_at,427,151,436,366,360,231,305,332,276,165,123,143,216,…
L22548_at,-294,-171,-450,-211,-150,-170,-204,-224,-163,-248,-265,-89,-183,…
L22650_at,55,12,55,7,25,-32,21,-89,-49,-24,-21,28,10,…
L23116_at,-137,59,55,67,297,-37,441,-43,-24,50,-40,67,165,…
L23808_at,-116,-177,-246,-211,-60,-94,-289,-77,-202,-44,-104,-37,-183,…
L23852_at,56,74,218,77,101,19,149,247,139,100,64,79,64,…
L23959_at,-823,-1003,-1084,-1234,-470,-659,-1285,-1322,-420,-539,-952,-564,-393,…
L24203_at,-90,-180,-167,-122,-69,-144,-87,-55,-172,-128,-237,-139,-129,…
L24470_at,54,55,55,39,43,46,16,203,-3,1,50,45,71,…
L24559_at,1367,1070,2019,984,505,1419,1337,1248,1555,1218,1269,176,928,…
L24564_at,-945,-791,-1035,-813,-302,-844,-971,-883,-862,-658,-641,-643,-537,…
L24783_at,493,937,1044,473,280,563,415,530,621,427,702,252,1126,…
L24804_at,990,976,1223,644,945,723,776,548,1276,686,901,488,985,…
L25080_at,7881,7772,4378,5676,5292,4052,3295,5181,7537,6187,7185,6502,8718,…
L25081_at,1853,267,872,395,807,337,287,929,884,760,358,132,745,…
L25085_at,809,1802,1839,660,1777,878,-67,241,4105,1125,3224,484,731,…
L25119_at,177,20,271,68,144,90,11,256,107,130,165,77,71,…
L25270_at,-312,-213,-552,-195,393,-23,78,133,-212,-303,136,25,932,…
L25441_at,-12,-13,44,13,33,30,97,17,57,56,6,-31,57,…
L25444_at,324,362,7,-206,521,154,-52,439,682,155,333,206,401,…
L25798_at,-56,70,93,273,57,87,-8,241,220,410,31,58,28,…
L25851_at,362,1623,2103,573,945,414,272,184,2161,468,1315,73,278,…
L25876_at,553,234,944,1263,690,565,949,353,901,973,516,211,989,…
L26081_at,-333,-431,-484,-371,-344,-360,-273,-347,-346,-305,-450,-129,-272,…
L26234_at,116,-148,94,85,-1,62,-5,128,-144,49,36,53,5,…
L26247_at,4279,13116,6428,3675,6411,4201,4239,3625,10626,7341,13447,5459,7492,…
L26336_at,154,109,181,175,123,192,225,169,163,165,89,153,119,…
L26339_at,-887,-767,-1155,-680,-398,-289,-988,-817,-667,-577,-318,-681,-197,…
L26494_at,718,68,920,921,97,693,235,563,627,170,61,439,198,…
L26953_at,115,3,19,5,9,58,45,19,55,14,-2,30,62,…
L27050_at,-146,-139,-239,-165,-69,-64,-226,-194,-127,-118,-19,-76,-69,…
L27071_at,20,115,9,20,65,78,73,134,-60,-7,-28,-56,-7,…
L27080_at,-399,-512,-775,-627,-94,-544,-772,-1368,-809,26,-301,-605,-188,…
L27476_at,116,99,287,140,163,179,136,133,218,80,84,110,270,…
L27479_at,355,-35,493,199,-76,-19,181,77,249,64,-56,21,183,…
L27560_at,-97,-14,-63,-31,-9,-16,-87,-50,160,-31,628,-11,-28,…
L27586_at,165,97,14,69,7,152,164,200,98,111,80,27,111,…
L27706_at,486,491,569,293,421,293,369,293,843,451,581,308,812,…
L27841_at,297,715,773,528,400,606,924,451,784,391,701,237,629,…
L27943_at,439,1169,755,1400,885,1175,1663,2484,555,1054,1092,1097,974,…
L28010_at,802,575,978,1042,1302,782,868,662,1759,1071,904,300,1873,…
L28175_at,-229,1034,-185,361,89,-58,-275,-298,-18,119,11,8,-205,…
L28821_at,-24,-22,-214,-79,126,-197,-31,44,-370,99,88,84,85,…
L28957_at,30,34,232,196,165,30,208,356,227,276,148,-4,160,…
L28997_at,255,147,242,265,239,76,228,280,172,55,176,-25,169,…
L29008_at,143,533,542,775,1237,369,578,298,598,519,364,169,279,…
L29217_at,-1566,-1109,-2200,-1862,-590,-2297,-2537,-2093,-1494,-1690,-729,-959,-980,…
L29218_at,658,437,716,679,791,408,695,571,170,285,140,136,460,…
L29277_at,617,671,1248,635,634,609,567,824,800,551,510,290,443,…
L29339_at,-131,-98,-277,-182,-22,-206,-189,-209,-187,-128,-54,-181,-52,…
L29376_at,39,-16,5,-368,-17,-39,-72,55,-133,-56,-244,-33,284,…
L29433_at,-185,-12,-555,120,-74,145,43,-95,-213,-166,100,45,-134,…
L31529_at,-181,-52,-128,-57,-24,-55,-110,22,-100,-124,-96,-27,-103,…
L31573_at,-170,-671,-768,-527,-256,-380,-297,-484,-622,-405,-94,-264,-227,…
L31584_at,476,364,489,490,174,330,401,1066,245,443,189,258,429,…
L31801_at,1054,923,1632,1065,1037,787,1056,1074,1273,754,1157,306,1203,…
L31860_at,-107,-54,-46,-28,-12,44,-58,50,-20,-19,31,-45,-40,…
L31881_at,-14,-225,-72,-95,-72,-17,-58,49,-94,-254,-122,-222,-28,…
L32137_at,227,132,312,60,146,252,15,337,29,135,57,-11,37,…
L32140_at,3,9,26,53,-62,-113,-47,-32,-118,26,-14,-50,-50,…
L32163_at,8,41,94,70,-10,-24,87,68,49,25,-20,31,35,…
L32164_at,98,43,458,-11,94,330,75,178,230,71,202,5,143,…
L32179_at,194,119,285,220,32,277,184,319,77,33,200,173,57,…
L32866_at,-130,51,-276,-139,18,-131,-164,-452,-1,-233,162,-130,58,…
L32976_at,265,160,141,69,125,-78,90,80,113,45,163,176,563,…
L32977_at,959,2475,1170,666,1015,844,549,473,2071,1328,2579,1227,1534,…
L33243_at,601,297,234,39,186,83,404,-161,64,-94,393,160,13,…
L33404_at,-664,-529,-661,-922,-227,-364,-583,-737,-670,-408,-388,-428,-348,…
L33477_at,-153,-144,-278,-98,-74,-133,-144,-250,-169,-24,-152,-173,-60,…
L33798_at,-637,-438,-691,-617,-15,-512,-525,-886,-551,-268,-434,-344,-294,…
L33799_at,29,-41,67,-537,385,-62,188,-43,67,131,92,-114,-16,…
L33801_at,287,354,361,93,124,289,45,83,288,115,204,114,211,…
L33842_rna1_at,1185,1337,808,2226,3197,908,1403,1073,4877,2385,2049,2052,2149,…
L33881_at,277,200,287,274,252,122,126,175,275,123,103,77,241,…
L34059_at,253,167,562,337,160,261,252,463,746,372,442,-38,136,…
L34060_at,844,655,404,350,162,542,344,737,305,222,189,169,200,…
L34075_at,336,209,482,480,402,268,347,326,446,134,334,182,259,…
L34081_at,-38,-6,-42,-9,28,-8,-38,-4,2,31,-54,5,11,…
L34155_at,-111,-270,-223,-47,8,-65,-324,-374,-37,-28,-78,31,116,…
L34219_at,112,89,120,219,114,69,42,191,45,90,61,135,20,…
L34357_at,284,87,237,211,133,204,122,220,181,61,130,162,92,…
L34409_at,88,-15,-6,126,-10,-16,43,103,108,82,108,24,42,…
L34587_at,795,1319,1754,725,1358,732,524,176,1600,1073,1663,1020,1526,…
L34600_at,96,91,54,153,237,163,67,7,130,115,106,50,73,…
L34657_at,250,581,238,-11,-17,280,-136,-4,576,-62,312,125,1132,…
L34673_at,-107,-36,-95,-17,1,-120,-53,-86,-30,-31,-44,-70,-16,…
L34820_at,353,75,366,207,135,208,325,217,213,245,235,70,46,…
L34838_at,-658,-557,-956,-1404,-181,-899,-1031,-971,-708,-803,-540,-599,-396,…
L35035_at,88,183,378,238,284,129,238,160,224,303,352,-18,234,…
L35240_at,529,13,215,80,48,17,216,626,69,71,49,110,386,…
L35251_rna1_at,44,-20,37,-38,-4,-65,-23,73,21,-1,-17,-41,97,…
L35269_at,266,273,322,153,88,55,132,61,214,108,134,60,204,…
L35475_at,1118,589,1741,809,326,1010,757,1202,1329,672,896,406,606,…
L35545_at,-49,-1,28,-22,-20,-1,-13,-41,-63,10,-103,-7,-66,…
L35546_at,314,80,26,173,187,106,183,61,126,78,86,5,80,…
L35592_at,168,57,83,149,71,72,89,142,136,65,54,109,113,…
L35854_at,-95,57,-78,70,-19,10,25,85,141,53,-28,53,-65,…
L36033_at,144,50,78,24,150,-69,151,-413,236,2,85,-150,-79,…
L36051_at,-35,-78,3,61,-22,-44,40,-221,-45,-21,-112,37,23,…
L36069_at,-761,-464,-1017,-1105,-453,-753,-1021,-1284,-977,-638,-613,-695,-491,…
L36151_at,1810,2961,2471,1389,2015,1392,1695,1416,2844,1410,2160,1013,2213,…
L36463_at,-444,154,645,221,-34,147,398,151,313,407,238,179,251,…
L36529_at,117,64,103,-10,160,-26,47,-40,133,54,224,11,304,…
L36531_at,656,328,1123,629,399,460,957,596,701,390,521,308,297,…
L36642_at,24,-30,-27,29,23,-16,-23,-26,-16,-16,-33,27,-11,…
L36645_at,421,64,136,54,133,-10,126,514,77,65,35,11,60,…
L36720_at,-137,60,-58,272,200,96,-156,440,-148,163,-412,168,646,…
L36818_at,744,238,818,717,782,231,693,403,163,57,470,110,556,…
L36844_at,271,149,179,236,110,314,250,191,194,39,193,119,-7,…
L36847_at,90,200,353,14,43,35,149,44,87,247,52,129,130,…
L36861_at,83,115,196,302,88,151,109,254,111,72,161,77,52,…
L36922_at,911,886,1516,747,536,398,601,829,833,882,600,515,363,…
L36983_at,485,339,-218,43,125,113,781,-472,624,-132,213,-28,474,…
L37033_at,927,3244,2550,1764,1086,2258,1754,1523,1805,1746,1792,682,1155,…
L37042_at,266,473,1174,371,626,656,374,451,988,689,661,268,403,…
L37043_at,1186,877,1403,945,1190,336,1072,1320,1187,384,883,353,572,…
L37127_at,92,1185,711,626,589,215,-95,-632,715,874,941,244,666,…
L37199_at,123,72,392,148,-30,208,470,212,259,153,237,-20,-34,…
L37347_at,-78,-106,-115,-45,-84,90,-40,-212,-127,-36,-72,-51,-53,…
L37362_at,39,-55,-68,-63,-41,-138,-16,20,41,-50,-115,116,43,…
L37368_at,1655,2104,1938,1381,461,1209,1440,1617,2243,1129,1773,879,1832,…
L37378_at,-45,32,134,119,29,30,47,163,98,48,-37,64,116,…
L37792_at,718,562,831,646,239,213,717,587,330,415,237,215,445,…
L37882_at,86,171,-44,235,120,51,25,-50,-58,-79,-38,0,-24,…
L37936_at,403,402,374,503,663,426,332,467,378,85,364,66,401,…
L38025_at,-163,-167,-201,-342,-59,-195,-325,-445,-132,-195,-89,-117,-98,…
L38486_at,536,987,583,524,376,316,554,761,417,574,379,425,430,…
L38487_at,-413,605,-428,-158,511,528,-285,-203,-359,-239,63,-607,269,…
L38500_at,41,69,135,30,110,72,-65,13,36,76,55,71,65,…
L38503_at,355,109,224,239,184,87,220,257,210,234,123,146,57,…
L38517_at,-268,25,-134,-8,-187,-3,-57,-338,-132,-39,-38,-125,4,…
L38608_at,-8,76,184,71,111,117,115,-46,106,111,129,10,40,…
L38616_at,325,359,351,395,370,227,497,155,321,266,275,238,201,…
L38696_at,733,1277,1985,813,1199,1324,781,686,2591,1701,1744,896,1158,…
L38707_at,621,552,548,608,518,522,892,634,576,461,384,409,279,…
L38810_at,575,807,883,571,1031,988,732,311,1408,754,686,642,1014,…
L38820_at,-15,26,31,-30,-1,140,-53,-82,60,31,-43,-10,38,…
L38928_at,123,220,460,33,190,26,255,380,396,90,221,61,225,…
L38929_at,103,269,96,-36,44,49,25,256,96,196,112,40,-16,…
L38932_at,2022,1425,2352,1807,1391,1200,2039,1562,2421,1473,1541,875,1609,…
L38933_rna1_at,40,144,43,-21,355,-33,43,97,62,107,73,37,178,…
L38935_at,265,293,765,299,245,442,593,412,633,334,298,301,203,…
L38941_at,15962,21492,18010,18467,16105,11471,16188,13618,18757,17741,21851,9174,17992,…
L38951_at,278,792,429,139,422,905,356,385,879,381,1908,283,1952,…
L38961_at,257,127,82,-6,120,-35,10,20,411,50,365,11,419,…
L38969_at,-219,-145,265,117,-6,343,-20,362,209,56,-155,136,-247,…
L39009_at,-166,-80,-133,-6,-69,14,-107,-11,-9,-32,-84,-28,-22,…
L39059_at,57,402,161,-82,291,225,16,-125,120,140,300,-54,175,…
L39060_at,-130,0,-209,-80,58,-58,-166,-113,-111,-72,-61,12,44,…
L39061_at,214,133,212,82,92,119,84,158,137,51,62,47,42,…
L39064_rna1_at,-73,160,260,-65,112,96,-112,-83,66,252,63,100,161,…
L39211_at,68,-20,7,-34,-17,96,-28,13,103,1,-17,96,57,…
L39833_at,14,55,-17,-21,4,115,-65,-11,-28,-47,32,-56,-16,…
L39874_at,731,946,1661,718,975,1331,1660,487,1047,977,1228,508,944,…
L40027_at,1125,829,1110,792,975,762,868,1066,1918,840,1206,395,1280,…
L40157_at,71,0,88,-3,110,-17,-50,-44,0,42,23,-4,69,…
L40357_at,736,482,828,715,1406,229,541,83,691,593,745,192,1240,…
L40366_at,-75,-30,-254,-73,-93,-39,-42,-277,-73,-141,-94,-48,-77,…
L40371_at,-83,101,-63,-105,239,140,-122,-56,19,-131,35,-37,-202,…
L40377_at,-169,-180,-497,5,212,-247,-184,-353,-313,-225,-179,-168,-79,…
L40379_at,-48,18,-253,-270,37,-97,-183,-113,-15,-94,-24,-53,-65,…
L40380_at,121,116,263,147,175,133,149,131,71,-37,76,43,57,…
L40387_at,443,389,443,509,35,437,640,185,494,493,358,441,175,…
L40388_at,0,25,7,27,221,5,-154,-65,95,32,352,0,30,…
L40391_at,1167,1083,2377,1128,1342,883,1282,500,2481,741,768,402,1929,…
L40392_at,578,692,831,552,781,501,917,425,485,451,572,327,886,…
L40393_at,108,71,-70,278,266,71,82,-67,130,38,73,34,176,…
L40394_at,258,107,148,59,358,222,147,11,363,120,132,106,97,…
L40395_at,418,377,299,561,607,574,994,221,637,440,464,373,508,…
L40396_at,12,9,3,24,10,8,3,-31,10,15,39,22,-6,…
L40399_at,-47,-40,-169,-173,63,-208,-171,-646,-124,113,72,-159,215,…
L40400_at,46,350,401,315,130,348,166,137,130,44,237,205,136,…
L40401_at,395,571,604,242,287,716,349,257,471,345,863,218,221,…
L40402_at,-142,-150,-217,-143,-135,-104,-325,-236,-214,-68,-150,-79,-68,…
L40403_at,-95,-83,-109,-36,42,1,-28,-77,-256,-114,-62,34,-49,…
L40407_at,-110,97,188,26,30,56,109,-95,-129,30,180,-127,6,…
L40410_at,534,566,533,584,781,307,675,374,863,454,564,275,832,…
L40411_at,274,219,230,408,284,106,238,152,65,281,202,194,185,…
L40586_at,101,350,119,47,116,140,131,128,107,129,187,143,76,…
L40636_at,65,-63,44,84,139,-16,6,146,104,-28,-85,-132,103,…
L40904_at,87,208,-20,-44,207,-48,-178,647,356,120,176,123,4,…
L40933_at,-73,-355,-550,-232,37,-58,-499,-208,-16,-79,-268,-367,-239,…
L40992_at,-100,143,5,21,23,40,142,265,396,59,-68,24,150,…
L41066_at,-55,-45,-155,-39,-84,224,18,-7,15,59,-26,-53,-4,…
L41067_at,702,419,799,527,960,346,813,475,771,93,289,66,436,…
L41143_at,-564,-318,-862,-676,14,-138,-504,-655,-410,-12,-435,-518,-194,…
L41147_at,-61,-99,102,-360,-116,94,89,-58,46,-208,57,-188,-180,…
L41162_at,-449,-725,-1015,-372,-746,-220,-399,-356,-199,-570,-379,-536,-818,…
L41349_at,-56,-24,-88,-63,-10,-14,11,-80,3,15,-1,53,34,…
L41351_at,-176,-28,-60,-130,315,-334,-211,-143,-161,-231,-2,-369,-133,…
L41559_at,-10,-13,58,-9,125,53,258,56,-15,61,14,103,17,…
L41607_at,44,0,91,38,79,74,-8,41,15,47,54,31,77,…
L41668_rna1_at,-22,-10,157,-13,69,-19,-77,10,-91,42,-47,-117,59,…
L41680_at,-557,-515,-378,-597,-132,-216,-613,-386,-417,-515,-309,-418,-287,…
L41690_at,544,482,788,334,558,325,663,307,897,589,164,202,490,…
L41816_at,-812,-994,-1370,-905,-371,-858,-910,-1071,-1020,-559,-633,-307,-529,…
L41870_at,459,141,467,272,409,106,546,311,660,51,73,70,502,…
L41887_rna1_at,290,349,440,207,168,208,436,368,295,214,137,77,493,…
L41913_at,68,5,10,-67,-4,62,-26,79,1,-21,-11,53,21,…
L41919_rna1_at,-19,-141,94,13,80,-176,426,257,229,171,5,74,-47,…
L41939_at,-89,-299,-134,-352,-68,-293,-307,-253,-160,-227,20,-349,-146,…
L42025_rna1_at,377,219,248,189,285,152,262,356,197,161,132,90,268,…
L42176_at,57,-43,-161,57,-28,30,84,88,108,31,-67,1,-78,…
L42243_cds1_at,91,137,195,52,224,167,186,146,186,70,176,84,209,…
L42324_at,348,259,333,699,241,176,702,608,241,214,175,140,260,…
L42354_at,342,653,169,644,-221,17,90,340,3,445,184,339,165,…
L42373_at,662,653,792,1034,832,327,680,1157,1067,471,524,523,727,…
L42379_at,-4,1134,232,55,1093,-56,272,376,100,194,29,646,711,…
L42450_at,84,-21,-61,109,40,60,102,199,65,84,-65,-24,-6,…
L42451_at,701,472,390,637,416,490,312,508,-21,692,503,349,741,…
L42452_at,-79,-103,-103,-74,-37,37,-72,49,-119,-111,-33,56,-80,…
L42542_at,474,316,382,573,807,206,362,425,876,322,287,38,1165,…
L42563_at,317,181,607,511,269,334,421,277,498,108,405,158,274,…
L42572_at,472,388,451,406,752,359,578,340,675,294,358,86,494,…
L42621_at,878,268,920,725,449,400,690,791,748,402,428,248,324,…
L43338_at,74,14,106,-92,-13,124,-188,52,241,-20,340,-89,-5,…
L43366_at,235,135,364,388,111,245,388,349,202,199,147,201,123,…
L43631_at,841,761,846,699,834,499,890,571,995,584,1039,307,1146,…
L43821_at,-93,-74,-264,-150,-107,-199,-146,-136,-185,-41,-161,-97,-51,…
L43964_at,-2,-145,-23,-296,-13,-16,57,-115,-40,-84,-103,-160,-75,…
L47345_at,350,495,937,310,278,88,547,836,457,21,391,87,24,…
L47726_at,84,43,76,3,46,14,132,179,7,57,38,35,4,…
L47738_at,571,2893,2723,731,649,1858,280,1716,2388,913,2147,140,556,…
L48211_at,-49,-48,7,-53,-22,-39,-115,-572,-182,-64,-113,-91,-113,…
L48513_at,-30,25,57,11,-16,72,-20,-103,60,2,-17,109,66,…
L48516_at,66,17,7,-10,-17,-1,10,259,-157,8,-172,-86,-52,…
L48546_at,291,1276,660,955,396,451,756,883,246,562,21,-382,618,…
L48692_at,-32,67,-27,9,87,-103,87,-44,51,71,31,-1,38,…
L48728_cds1_at,263,217,163,354,197,202,295,364,123,303,134,201,79,…
L49054_at,-64,-84,51,29,-7,-58,10,41,-11,-15,6,-12,-23,…
L49169_at,741,5605,1287,557,1132,714,1194,1145,1320,2693,1037,1365,1106,…
L75847_at,-13,61,-46,45,9,-7,57,73,-32,19,-21,-8,16,…
L76159_at,431,387,428,262,750,295,166,193,661,480,626,47,370,…
L76191_at,1720,1127,1093,1599,1569,638,1925,877,1679,574,1191,2128,1696,…
L76200_at,1610,3479,5013,501,1058,2521,161,2227,4727,2845,3048,941,849,…
L76224_at,1011,578,1196,463,325,343,873,979,754,358,516,140,484,…
L76380_at,232,247,492,376,148,266,334,431,303,159,292,140,132,…
L76465_at,116,18,132,40,56,83,68,64,166,-22,100,-5,34,…
L76571_at,49,-113,101,-80,-66,-65,-28,-149,82,-141,-18,-34,-65,…
L76687_at,73,7,180,19,16,62,-3,-11,45,16,54,-41,7,…
L76702_at,394,310,764,122,231,300,-325,112,1012,626,318,-262,1171,…
L76703_at,417,502,433,304,451,193,194,328,499,144,550,109,379,…
L76927_rna1_at,-94,-180,-85,-140,319,-99,-21,-244,-15,36,-89,-24,243,…
L76937_rna1_at,77,133,42,68,195,87,78,76,134,59,261,27,144,…
L77213_at,549,56,622,-41,517,-12,374,322,425,-33,337,91,164,…
L77559_at,16,-92,-112,-82,12,0,-73,-116,-83,-30,42,-47,-10,…
L77561_at,376,384,598,528,218,553,609,653,433,279,195,287,161,…
L77563_at,76,-132,47,71,-45,-24,-55,-122,-245,108,-142,-89,59,…
L77566_at,-77,-19,-207,-215,-20,-136,-287,-26,-185,-105,95,-155,-40,…
L77571_at,-127,-767,-938,-163,34,-83,-265,-1209,-243,-192,-197,-228,-101,…
L77701_at,-847,-751,-840,-620,-53,-720,-848,-1304,98,-903,-616,-551,-250,…
L77730_at,250,205,270,211,73,144,215,262,171,160,111,107,166,…
L77864_at,-590,-259,-563,-1104,-126,-412,-888,-1197,-533,-329,-784,-435,-264,…
L77886_at,1126,87,360,79,38,316,25,85,416,131,180,73,31,…
L78132_at,127,111,95,49,68,28,53,122,115,2,147,22,20,…
L78267_at,175,103,95,9,76,76,5,38,72,71,77,73,41,…
L78440_at,617,1471,1057,725,315,528,651,986,644,500,491,291,361,…
L78833_cds2_at,-42,-114,-120,-192,-98,-172,-146,112,-359,-79,-299,-33,7,…
M10014_cds1_at,148,85,272,68,66,51,107,218,153,14,115,56,82,…
M10050_at,-232,-113,-273,-165,-102,-147,-117,-313,-301,-236,-129,-126,-96,…
M10058_at,-711,-249,-1430,-638,-447,-567,-917,-890,-1231,-432,-321,-346,-257,…
M10612_at,707,138,555,351,342,108,235,409,420,76,63,27,236,…
M10901_at,690,373,156,599,616,140,1712,1161,322,169,1105,219,843,…
M10950_cds2_at,-112,-129,-28,-31,-21,-24,-45,-32,-15,-16,-66,-12,-57,…
M11058_at,36,28,159,13,103,35,-18,-43,183,113,165,-8,6,…
M11119_at,1768,1189,2088,2045,900,983,2651,1191,1136,1076,1079,780,836,…
M11147_at,5418,17348,6156,7070,9017,6221,4746,7881,9431,5092,6027,15280,6183,…
M11186_at,80,244,-23,359,-71,216,411,62,245,-152,-94,83,227,…
M11321_at,-171,-206,-192,-255,-135,-28,-196,-305,-115,-164,-117,-136,-128,…
M11353_at,14913,14924,19777,14619,14573,10619,14650,17011,15050,9423,15490,9183,12586,…
M11433_at,124,31,-31,33,51,-168,3,-32,52,30,-32,-12,-11,…
M11437_cds1_at,-97,15,103,33,-30,28,-154,46,-11,-30,24,-38,-43,…
M11437_cds2_at,179,72,400,103,114,5,47,209,-50,20,59,-14,-2,…
M11567_rna1_at,-552,-526,-1312,-820,-446,-531,-799,-787,-605,-698,-482,-438,-485,…
M11591_at,94,-14,125,-19,9,-24,-107,38,52,85,21,-4,-61,…
M11717_rna1_at,291,441,321,660,689,60,253,218,197,6495,118,-24,1663,…
M11718_at,179,54,21,119,-29,94,36,53,-64,128,42,54,105,…
M11722_at,3282,1627,2783,1544,1896,2372,613,4066,1391,972,780,2433,9811,…
M11726_at,389,265,494,575,141,257,196,343,43,270,260,301,70,…
M11749_at,-308,127,-348,-57,92,-113,-119,-367,-271,2,-182,-136,-21,…
M11973_cds1_at,69,82,172,161,52,-44,57,113,62,-241,56,-51,1,…
M12036_at,-179,-283,-353,-248,-97,-279,-490,-851,-283,-80,-182,-179,84,…
M12174_at,710,394,376,756,803,506,341,1716,464,932,803,827,632,…
M12529_at,-338,-500,-834,-93,-501,-312,-720,-484,-385,-138,-401,-224,-281,…
M12625_at,0,372,587,-33,349,-92,-84,-652,430,295,247,17,29,…
M12759_at,1080,4490,214,114,89,115,77,128,163,85,-103,1136,92,…
M12886_at,723,9456,19653,-190,95,7978,-270,1289,16572,21880,6008,612,282,…
M13143_at,304,278,486,214,201,131,220,104,279,179,209,179,115,…
M13149_at,240,194,355,297,117,87,154,289,177,102,71,139,44,…
M13194_at,488,638,690,588,687,439,534,227,740,797,443,462,681,…
M13207_at,-203,-231,-244,-533,-96,85,-267,302,-362,-275,-269,-238,-152,…
M13241_at,89,29,63,-82,80,-7,45,23,106,99,14,12,66,…
M13450_at,2149,1870,3234,2192,2172,1625,2409,1152,3796,1507,3109,829,1711,…
M13666_at,385,131,498,267,250,167,85,349,208,314,284,125,176,…
M13699_at,-136,44,30,-34,37,-24,-194,17,-10,7,-64,51,-28,…
M13755_at,1136,494,643,638,669,234,243,499,957,493,388,494,440,…
M13792_at,3221,10954,16529,5364,2837,16135,6067,3103,15235,8982,8630,1695,4765,…
M13903_at,343,286,540,76,427,-97,-136,-314,143,370,270,133,-4,…
M13934_cds1_at,-190,-231,-320,-182,-115,-261,-238,-187,-176,-44,-229,-122,-173,…
M13934_cds2_at,14108,12913,16066,15496,15002,16775,17770,14010,16467,17688,17068,19078,13783,…
M13955_at,303,329,419,381,313,261,-65,-14,-528,-74,153,228,261,…
M13982_at,-475,-654,-572,-676,-280,-414,-613,-901,-673,-471,-111,-349,-286,…
M14016_at,339,329,711,375,379,286,438,409,572,446,343,171,349,…
M14058_at,613,185,240,54,35,167,-28,74,206,121,91,149,324,…
M14091_at,18,-39,-116,-13,-6,-40,36,-38,-10,26,-55,44,-25,…
M14113_at,217,71,152,53,48,136,60,140,136,85,156,119,41,…
M14123_xpt2_at,211,84,197,137,105,55,62,152,184,245,143,205,187,…
M14123_xpt3_at,26,72,58,67,37,35,18,34,73,119,21,64,83,…
M14123_xpt4_at,-449,-127,-87,-316,-141,-14,-238,-368,-157,-45,-195,-239,6,…
M14158_cds4_at,434,307,343,460,170,330,299,376,437,332,152,257,275,…
M14159_cds2_at,-289,-386,-390,-411,-171,-85,-352,-470,-80,-200,-68,-194,-102,…
M14200_rna1_at,685,1629,1545,1434,2539,684,717,218,1762,1134,1138,1395,1167,…
